Incident_ID,Incident_Type,Area,Time_of_Day,Day_of_Week,Weather,Crowd_Level,CCTV_Available,Police_Response_Time,Ambulance_Response_Time,Fire_Response_Time,Number_of_People,Severity_Score,Previous_Incidents,Emergency_Level
1,Theft,Central,Morning,Friday,Rainy,Low,Yes,10.0,12,12,13,2,8,Medium
2,Medical,South,Night,Tuesday,Rainy,High,No,19.0,24,5,112,2,7,Medium
3,Accident,South,Afternoon,Sunday,Rainy,Low,Yes,25.0,18,25,389,1,5,Medium
4,Theft,West,Morning,Thursday,Sunny,High,No,14.0,24,20,50,7,11,High
5,Theft,South,Evening,Monday,Sunny,Low,No,21.0,11,8,454,10,11,High
6,Accident,South,Evening,Saturday,Cloudy,High,Yes,14.0,10,27,233,5,20,High
7,Fire,West,Night,Wednesday,Cloudy,High,Yes,20.0,28,19,326,10,5,High
8,Assault,East,Morning,Tuesday,Cloudy,High,No,10.0,6,24,432,6,1,High
9,Fire,East,Afternoon,Tuesday,Cloudy,High,No,15.0,25,33,336,4,15,High
10,Fire,Central,Night,Monday,Sunny,Low,Yes,15.0,16,18,220,10,18,High
11,Assault,Central,Night,Friday,Rainy,High,Yes,22.0,7,28,406,3,13,High
12,Theft,East,Night,Tuesday,Rainy,Low,No,11.0,29,25,350,2,17,High
13,Medical,Central,Afternoon,Tuesday,Rainy,Low,Yes,19.0,8,23,391,9,5,High
14,Accident,South,Morning,Tuesday,Cloudy,Low,Yes,3.0,8,27,166,10,15,High
15,Fire,West,Afternoon,Wednesday,Cloudy,High,No,20.0,29,12,418,8,2,High
16,Assault,East,Night,Friday,Rainy,Low,Yes,25.0,11,23,476,4,17,High
17,Medical,South,Morning,Monday,Cloudy,High,Yes,3.0,23,18,33,4,10,High
18,Accident,West,Afternoon,Friday,Sunny,High,No,13.0,7,19,35,4,1,Medium
19,Theft,West,Evening,Thursday,Rainy,Medium,Yes,16.0,11,10,402,4,15,High
20,Fire,South,Afternoon,Friday,Rainy,Low,No,13.0,30,10,32,2,12,Medium
21,Medical,North,Morning,Saturday,Cloudy,Low,Yes,10.0,7,32,143,3,14,High
22,Assault,North,Afternoon,Thursday,Sunny,Medium,No,18.0,20,17,86,4,13,High
23,Fire,South,Evening,Tuesday,Sunny,High,Yes,25.0,28,35,147,8,13,High
24,Theft,Central,Morning,Sunday,Sunny,Low,Yes,21.0,20,14,30,6,1,Medium
25,Medical,North,Night,Saturday,Cloudy,High,No,21.0,12,6,207,4,3,Medium
26,Fire,East,Night,Wednesday,Sunny,Low,No,10.0,13,29,105,5,10,High
27,Medical,East,Afternoon,Wednesday,Sunny,Low,No,5.0,22,17,289,10,3,High
28,Medical,Central,Morning,Saturday,Cloudy,Medium,Yes,20.0,27,23,81,5,14,High
29,Accident,East,Afternoon,Saturday,Rainy,Low,No,6.0,28,13,136,3,3,Medium
30,Accident,North,Morning,Wednesday,Sunny,High,No,4.0,7,31,251,9,8,High
31,Medical,North,Morning,Monday,Cloudy,Low,Yes,20.0,27,31,380,3,14,High
32,Theft,East,Evening,Sunday,Sunny,Medium,Yes,7.0,18,12,299,6,17,High
33,Medical,South,Afternoon,Sunday,Sunny,Low,No,14.0,29,30,342,4,3,Medium
34,Accident,South,Morning,Thursday,Sunny,Medium,Yes,16.0,30,19,92,1,10,Medium
35,Fire,North,Afternoon,Thursday,Rainy,Medium,Yes,14.0,14,18,419,4,14,High
36,Theft,North,Evening,Tuesday,Cloudy,Medium,Yes,19.0,17,25,180,5,20,High
37,Assault,Central,Morning,Thursday,Cloudy,Low,No,14.0,28,24,306,2,13,High
38,Accident,West,Morning,Saturday,Rainy,High,No,3.0,21,16,363,1,13,High
39,Accident,West,Evening,Friday,Sunny,Low,No,19.0,14,30,369,2,9,Medium
40,Assault,Central,Morning,Wednesday,Rainy,Low,No,22.0,23,23,347,7,5,High
41,Assault,South,Night,Sunday,Cloudy,Low,Yes,13.0,19,32,311,10,20,High
42,Fire,East,Afternoon,Sunday,Sunny,Low,Yes,22.0,15,9,264,5,20,High
43,Assault,West,Afternoon,Saturday,Cloudy,Medium,No,22.0,29,8,126,1,15,High
44,Theft,West,Afternoon,Tuesday,Cloudy,High,No,23.0,27,4,125,7,4,High
45,Assault,Central,Evening,Sunday,Rainy,High,No,6.0,19,12,286,1,7,Medium
46,Fire,East,Night,Saturday,Sunny,Medium,No,18.0,19,20,229,9,5,High
47,Accident,Central,Morning,Tuesday,Sunny,Low,No,10.0,13,25,366,2,9,Medium
48,Accident,Central,Night,Thursday,Sunny,Low,No,5.0,18,30,362,3,6,Medium
49,Assault,North,Evening,Wednesday,Rainy,Medium,Yes,25.0,5,28,464,7,18,High
50,Assault,East,Night,Saturday,Sunny,Medium,Yes,16.0,20,5,113,8,8,High
51,Theft,West,Afternoon,Sunday,Rainy,Low,Yes,15.0,23,5,274,10,0,High
52,Accident,West,Evening,Sunday,Rainy,Medium,Yes,9.0,19,24,195,5,10,High
53,Theft,North,Morning,Tuesday,Sunny,Low,Yes,4.0,16,18,10,8,17,High
54,Assault,East,Evening,Tuesday,Cloudy,High,Yes,24.0,8,17,65,4,15,High
55,Accident,Central,Night,Thursday,Cloudy,Low,Yes,6.0,23,5,494,3,9,High
56,Medical,North,Morning,Wednesday,Cloudy,Medium,No,10.0,8,23,354,10,20,High
57,Assault,North,Night,Wednesday,Cloudy,Medium,Yes,13.0,5,30,260,2,20,High
58,Assault,West,Evening,Wednesday,Sunny,Low,No,23.0,13,34,91,7,16,High
59,Accident,North,Night,Sunday,Rainy,Low,No,21.0,24,28,125,8,14,High
60,Medical,North,Afternoon,Monday,Sunny,High,No,13.0,13,21,182,4,8,High
61,Assault,North,Morning,Wednesday,Sunny,Medium,Yes,25.0,20,35,285,8,7,High
62,Assault,Central,Evening,Wednesday,Cloudy,Medium,No,14.0,20,26,340,5,18,High
63,Accident,North,Afternoon,Tuesday,Sunny,High,No,6.0,28,16,129,5,7,High
64,Theft,South,Evening,Tuesday,Rainy,Low,No,19.0,24,22,371,5,18,High
65,Theft,Central,Evening,Saturday,Sunny,High,No,7.0,13,6,363,1,17,High
66,Assault,West,Evening,Tuesday,Sunny,Medium,No,21.0,14,34,447,2,0,Low
